"","site","transect","quadrat","bare_rock","algae","mussels","small_barnacles","large_barnacles","gooseneck_barnacles","anemone","whelks","crabs","stars"
"1","Scripps",1,"Low   ",25,75,0,2,5,0,3,0,0,0
"2","Scripps",1,"Mid",50,0,5,50,5,0,0,0,0,0
"3","Scripps",1,"High",20,50,1,50,0,0,0,0,0,0
"4","Scripps",2,"Low",10,85,0,0,0,5,0,0,0,0
"5","Scripps",2,"Mid",40,5,10,40,1,5,0,0,0,0
"6","Scripps",2,"High",40,5,0,55,0,0,0,0,0,0
"7","Scripps",3,"Low",0,100,0,0,1,0,0,0,0,0
"8","Scripps",3,"Mid",30,5,10,40,0,30,0,0,0,0
"9","Scripps",3,"High",60,4,1,20,0,5,0,1,0,0
"10","Scripps",4,"Low",0,100,0,0,0,0,0,0,0,0
"11","Scripps",4,"Mid",45,10,3,25,15,0,5,0,0,0
"12","Scripps",4,"High",70,0,0,25,5,0,0,0,0,0
"13","Scripps",5,"Low",5,70,0,20,5,0,0,0,0,0
"14","Scripps",5,"Mid",30,0,5,60,0,0,10,1,0,0
"15","Scripps",5,"High",15,0,0,85,0,0,0,0,0,0
"16","Scripps",6,"Low",5,85,0,5,5,0,0,0,0,0
"17","Scripps",6,"Mid",30,10,2,50,0,0,10,0,0,0
"18","Scripps",6,"High",85,0,0,15,0,0,0,0,0,0
"19","Scripps",7,"Low",20,70,2,3,10,0,0,0,0,0
"20","Scripps",7,"Mid",25,25,0,60,2,10,3,0,0,0
"21","Scripps",7,"High",20,0,0,80,0,0,0,0,0,0
"22","Scripps",8,"Low",5,95,0,0,5,0,0,1,0,0
"23","Scripps",8,"Mid   ",20,10,5,60,0,10,0,0,0,0
"24","Scripps",8,"High",30,0,0,70,0,0,0,0,0,0
"25","Scripps",9,"Low",10,65,0,3,3,0,25,0,0,0
"26","Scripps",9,"Mid",0,10,3,80,0,5,2,1,0,0
"27","Scripps",9,"High",15,25,0,80,0,0,0,0,0,0
"28","Scripps",10,"Low",30,45,0,10,5,0,10,0,0,0
"29","Scripps",10,"Mid",60,10,0,30,0,1,0,0,0,0
"30","Scripps",10,"High",5,0,0,95,0,0,0,0,0,0
"31","Dana Point",1,"Low",0,100,0,0,0,0,0,0,0,0
"32","Dana Point",1,"Mid",5,50,10,50,30,0,2,0,0,0
"33","Dana Point",1,"High",15,25,5,60,5,0,2,0,0,0
"34","Dana Point",2,"Low",2,95,0,0,1,0,3,0,0,0
"35","Dana Point",2,"Mid",5,80,25,15,10,2,3,1,0,0
"36","Dana Point",2,"High",2,1,3,95,2,0,0,0,0,0
"37","Dana Point",3,"Low",0,75,0,0,5,0,0,0,0,0
"38","Dana Point",3,"Mid",6,25,25,30,15,2,2,0,1,0
"39","Dana Point",3,"High",0,10,10,90,15,1,0,0,0,0
"40","Dana Point",4,"Low",0,95,5,5,5,0,0,0,1,0
"41","Dana Point",4,"Mid",0,30,5,60,30,0,0,0,0,0
"42","Dana Point",4,"High",15,16,5,60,15,0,0,0,0,0
"43","Dana Point",5,"Low",0,100,0,0,0,0,0,0,0,0
